product_id,brand_ko,brand_en,product_name_ko,product_name_en,category,subcategory,has_hwahae_source,has_any_source,has_skin_type_signal,has_concern_signal,has_texture,has_age_signal,has_ranking,has_award,has_oliveyoung_global_offer,recommendation_review_candidate,commerce_review_candidate,missing_for_review
P00294,비플레인,beplain,녹두 모공 클리어링 필터 패드,,클렌징/필링,스크럽/필링 패드,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00295,식물나라,,뽀얀쌀 생기 톤업 선쿠션 [SPF50+/PA++++] [02 생기 피치],,선케어,선쿠션/팩트,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00296,오르제나,,라하 올 멜팅 클렌징밤,,클렌징/필링,클렌징 밤,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00297,마미케어,,애사비 클렌저,,클렌징/필링,클렌징 폼,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00298,아르히,,스피큘 두피 앰플,,헤어케어,트리트먼트/팩,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00299,말따,,콜라겐 안티세범피 하이드로겔 오버나이트 마스크 앤 부스터샷,,마스크/팩,시트마스크,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00300,큐어알파,,알로에시카 수딩젤,,스킨케어,젤,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00301,풀리,,쌀 반죽 팩 클렌저,,클렌징/필링,클렌징 폼,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00302,바이오던스,BIODANCE,포어 퍼펙팅 콜라겐 펩타이드 세럼,,스킨케어,에센스/앰플/세럼,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00303,아브카,,딥 모이스처 세라마이드 크림 토너,,스킨케어,스킨/토너,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00304,피체,,로즈 립 클레이팩 클렌저,,마스크/팩,워시오프 팩,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00305,브링그린,BRING GREEN,티트리 시카 수딩 토너,,스킨케어,스킨/토너,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00306,힌스,hince,래디언스 메이크업 부스팅 프렙,,베이스메이크업,메이크업베이스,True,True,False,False,False,False,False,True,False,False,False,product_name_en|skin_type_signal|concern_signal|texture|oliveyoung_global_offer
P00307,토브토브,,퍼펙트 콜라겐 마스크,,마스크/팩,시트마스크,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00308,휩드,,비건 팩클렌저 [무화버터],,마스크/팩,워시오프 팩,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00309,블랑네이처,,5배 고농축 매직 티트리 오일,,스킨케어,페이스오일,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00310,에뛰드,ETUDE,진저슈가 립 세럼 [03 누디 베이지],,립밤,,True,True,False,True,False,False,False,True,False,False,False,product_name_en|subcategory|skin_type_signal|texture|oliveyoung_global_offer
